symbol,mean_dollar_volume,obs
o,288777804.34623,252
rblx,288287217.675814,252
roku,287493274.054921,252
odfl,286483703.941667,252
cnc,285753561.722897,252
hes,284531397.614445,252
tdg,283292962.99746,252
well,282579746.33619,252
kdp,282027839.418016,252
elf,277467544.001072,252
wsm,276913584.755952,252
msci,275529103.636468,252
ebay,274555241.281627,252
nio,273354354.497157,252
cci,273351418.560397,252
trv,273242178.12623,252
kmi,272530572.688453,252
expe,271711946.059722,252
carr,271631870.31754,252
kmb,271003843.146786,252
bp,270446121.475754,252
ea,270343439.78875,252
khc,268988953.760476,252
tsco,268208782.423532,252
ajg,267592870.602659,252
wmb,265956790.573651,252
fis,265954074.417341,252
riot,265466400.291925,252
msi,262750410.954921,252
dpz,262114332.128095,252
net,261856046.664445,252
aep,261456599.284563,252
iqv,260833885.788413,252
hpe,260330147.785476,252
gis,259779926.502857,252
hal,258587409.9625,252
vktx,258523500.354901,252
ctas,257861557.097996,252
dow,256785830.0875,252
upst,256552977.926825,252
pcar,256278641.150178,252
ferg,256073882.734166,252
all,255441560.953294,252
pbr,254292486.526508,252
itw,253894016.965595,252
yum,252907624.87127,252
bby,252873718.257024,252
nue,251520922.331468,252
fico,251461360.375079,252
hpq,251370836.831746,252
lvs,251023613.929484,252
eqt,250224473.840774,252
luv,248924186.106032,252
tel,248897041.173056,252
alab,248793091.674394,198
pcg,246065970.111984,252
cava,243296413.850437,252
mlm,243229779.078453,252
kr,243101179.89877,252
ecl,242662882.589841,252
rok,242659021.226032,252
ctsh,242013817.852123,252
ter,240730371.46373,252
flut,240207287.332692,234
gpn,239906608.412063,252
gehc,239066811.288552,252
met,238562829.027381,252
bk,238315421.404921,252
ttwo,237000410.470099,252
idxx,236363068.332897,252
ilmn,234738685.204881,252
pwr,233990350.123889,252
biib,233400882.310675,252
nclh,232891388.310238,252
anf,232883946.211905,252
syy,232654651.097818,252
stx,232361323.845516,252
u,232059764.82377,252
oke,230808794.494127,252
axon,230164563.270992,252
a,228591077.93873,252
adm,227524120.394325,252
nrg,227466598.504246,252
vxx,226770598.366548,252
gww,225874784.670952,252
efx,225266640.522183,252
exc,224396111.127262,252
sre,224075641.964286,252
hwm,224037699.095556,252
xel,223307153.900258,252
cprt,222947316.617222,252
swks,222839755.513234,252
ir,222692878.150278,252
aptv,222637245.267817,252
wbd,222156766.150813,252
d,221068808.913571,252
lyv,220417767.811428,252
fast,219962056.472937,252
dks,219693976.430913,252
etsy,219382846.400952,252
payx,218676020.326389,252
w,218161662.20377,252
cah,217488819.440714,252
spg,216108368.004802,252
trgp,214836615.854524,252
hban,214542344.061786,252
bldr,213333502.200377,252
psa,213295537.072659,252
ip,212764232.795556,252
zm,211593168.772758,252
phm,211479878.727976,252
dfs,209815891.381865,252
lyft,208587758.739881,252
rmd,206840444.742421,252
vmc,204227003.789841,252
amp,203886979.358691,252
rh,203680589.023333,252
ppg,203616189.053135,252
rsg,203283538.915714,252
burl,203253158.604683,252
veev,203208667.930436,252
wba,202958656.537134,252
glw,202953633.371508,252
mro,202723418.669244,225
afl,201252384.391706,252
ccj,200866257.996746,252
iclr,198993174.704643,252
lhx,198124716.966389,252
ntap,197817904.778433,252
ionq,197722909.750913,252
key,196836308.742143,252
rop,196789243.755198,252
dri,196573713.827778,252
peg,195218424.235833,252
otis,194768734.953016,252
wynn,194017356.369782,252
lw,192642166.350436,252
cdw,191958469.597302,252
gddy,191289014.354127,252
hims,190538469.341032,252
ame,189936435.798214,252
algn,189437847.215317,252
entg,188502515.617579,252
z,188308571.813452,252
tcom,188295353.162341,252
aa,188203613.728631,252
chwy,187333701.260238,252
cpng,187317657.124167,252
etr,186747592.076111,252
li,186537448.130952,252
sbac,185968507.42996,252
vrsk,184496566.297936,252
cfg,183813908.474603,252
asts,183807979.573214,252
k,183618819.219603,252
csgp,182569774.078393,252
tost,182413990.418175,252
onon,182118553.911429,252
p,181970570.324206,252
wst,181928471.474563,252
docu,181163075.163016,252
syf,181079063.547976,252
okta,180533251.956091,252
twlo,180292244.412063,252
lyb,180236943.204881,252
alny,179177582.320516,252
clx,179163477.160555,252
moh,178311059.125079,252
cp,178189195.407143,252
dd,177068251.71631,252
ed,176836665.341945,252
infy,176204346.858651,252
saia,176175988.845734,252
wec,175927995.417857,252
cbre,175370676.205119,252
keys,175319931.985913,252
bkr,174900731.949683,252
exe,174555899.926885,252
apa,174056154.553135,252
lpla,173994532.962262,252
x,173685820.223056,252
futu,173569746.386925,252
stt,173302737.882857,252
ndaq,173005682.27873,252
jbl,172869584.617143,252
mtd,172286419.204087,252
rio,171950872.116389,252
ctva,171656071.536825,252
tol,171125481.239881,252
it,171106918.974167,252
xpo,168816124.011865,252
hubb,168758759.115357,252
fitb,168523108.230694,252
ai,167289117.981032,252
zbh,167094084.99631,252
wab,166545539.065913,252
enb,166523898.965992,252
mtb,166516608.625516,252
pru,166302891.116429,252
mndy,166201396.929563,252
ares,165267227.940556,252
five,164653332.227222,252
mtch,164475101.465615,252
aem,163970212.966389,252
rf,163787744.651706,252
akam,163524369.007242,252
dov,162535495.211111,252
crox,162474647.783571,252
sap,162005013.490635,252
hdb,161964615.56746,252
cnq,161409413.186389,252
anss,161208419.673849,252
stld,161184759.510833,252
lii,160605365.787421,252
cf,160318447.148214,252
mgm,159970429.104048,252
hig,159806850.418056,252
tpr,159404056.528373,252
wing,158863155.287718,252
vici,157950877.494385,252
clf,157817144.182222,252
acgl,157762857.893512,252
fnd,157601925.507698,252
dt,157557520.903294,252
exr,156224967.281072,252
gsk,155884300.110913,252
cboe,155608756.474068,252
gap,155544324.345436,252
czr,155519433.293274,252
thc,154717975.783214,252
fcnca,154689965.852421,252
run,154530148.545575,252
xyl,154203087.634246,252
eme,153629015.593532,252
wcn,153167862.17496,252
ctra,153131293.920516,252
awk,151272417.147818,252
aes,150979958.316548,252
cnp,150795207.953968,252
ftv,150618700.759881,252
vglt,149692492.869643,252
omc,149633273.276349,252
cohr,149466803.30754,252
irm,149463509.161548,252
bax,149191559.395992,252
duol,148775961.360992,252
eix,148772271.704087,252
su,148627086.138492,252
jbht,148395683.029682,252
cve,148382163.328016,252
qrvo,147979586.893849,252
nvr,147826629.925952,252
beke,147340227.901905,252
podd,147330163.051568,252
para,147322549.603917,252
rl,146896243.379564,252
bg,146830123.524206,252
ntnx,146799326.678155,252
bti,146297547.462381,252
wat,145884716.631191,252
exas,145449068.44494,252
teck,145389810.903452,252
bcs,145237732.810159,252
avtr,144919129.632421,252
gpc,144639684.388294,252
iff,143951290.664087,252
ntes,143925608.682778,252
kmx,143578899.923333,252
td,142585475.840714,252
srpt,142401636.823829,252
chd,142069111.288214,252
rjf,141130539.956508,252
stm,140465421.027143,252
es,140315529.792063,252
bmrn,140021616.514802,252
ptc,139837163.931944,252
vlto,139547521.263889,252
lh,139498378.885,252
cms,139278796.324405,252
ul,138997394.60131,252
teva,138964948.956865,252
spib,138932135.633056,252
cpay,138697711.964206,252
ppl,138235685.361429,252
epam,138202921.764841,252
ntra,138096263.08242,252
cag,137889255.979802,252
avb,137866386.44496,252
lscc,137180761.525814,252
trow,137002945.551964,252
agnc,136876467.131071,252
wtw,136746664.807123,252
kss,136731987.79623,252
iot,136610635.431984,252
payc,136604093.244524,252
incy,136595050.931627,252
mkc,136563283.077897,252
rgti,136378712.514891,252
ldos,136255370.970436,252
ibn,135442551.84254,252
sjm,134590681.107262,252
argx,134450579.828214,252
ovv,133708903.829405,252
nxt,133687322.127387,252
nvs,133158458.773571,252
bhp,132764840.828889,252
path,132749888.094524,252
gtlb,132686303.511508,252
cart,132627448.864762,252
cybr,131760860.586528,252
bbwi,131629459.574782,252
swk,131435390.834563,252
estc,131084832.049921,252
tru,130942288.869524,252
chrd,130773571.494484,252
bah,130583240.349722,252
cni,130261599.379325,252
ipg,130014293.346667,252
tsn,129959192.030159,252
crl,129464054.810198,252
ce,129048068.186429,252
gnrc,128904356.366944,252
csl,128731663.69127,252
chrw,128678982.104028,252
vtr,128504668.350972,252
stla,128428748.401825,252
flex,128137445.294048,252
dte,127498411.279643,252
rklb,127185744.423849,252
bill,126990377.428452,252
mas,126771943.569246,252
jnpr,126595763.451111,252
dgx,126315780.861071,252
uhs,125977275.931627,252
ibkr,124711864.471508,252
vfc,123631642.210397,252
holx,123468916.808611,252
edu,123102511.526746,252
uthr,123075923.265754,252
pr,123072682.249861,252
ally,123024279.857619,252
pool,122995951.539921,252
fix,122508881.63373,252
hst,122452466.389206,252
cytk,122316681.223353,252
cnm,121620931.656111,252
wso,121315949.844286,252
bj,121251813.882064,252
txrh,121122067.951984,252
iren,120795467.08748,252
xpev,120398923.498393,252
kgc,120382683.189167,252
cnh,120148776.109087,252
mos,119996561.966627,252
itub,119776146.920794,252
tyl,119610312.757579,252
yumc,119553916.609048,252
vrsn,119378336.194325,252
pnr,119305148.156468,252
gl,119181638.378571,252
lcid,119152982.945675,252
aee,119090830.934127,252
oc,119021170.977182,252
are,118922952.45381,252
skx,118867010.672738,252
eqr,118803354.487659,252
tpl,118608851.600278,252
sedg,118529079.044444,252
eg,118502192.484187,252
bro,118353140.989762,252
s,118332002.066706,252
aer,117370667.388571,252
ctlt,117228357.324793,242
ni,117207126.321587,252
wcc,117069656.677183,252
wrk,116741871.64063,127
swn,116461241.890588,187
fds,115508815.061984,252
chkp,115505358.832321,252
cma,115266156.832619,252
cls,115193731.466508,252
four,115154373.475476,252
nbix,114969823.74996,252
ball,114531863.273294,252
insm,113891027.499802,252
race,113690478.305873,252
qsr,113557961.516944,252
fe,113405264.881151,252
scco,112991756.688889,252
foxa,112895685.874405,252
ar,112708459.476865,252
sfm,112642615.432341,252
bld,112188906.365238,252
pkg,112039344.665079,252
wy,111857216.983373,252
plug,111849360.494306,252
dva,111730513.984802,252
zbra,111594942.385913,252
aap,111475358.832103,252
whr,110483627.590159,252
invh,110433260.82627,252
ry,110343607.757857,252
m,110320967.733691,252
ste,110002276.926746,252
nvt,109530757.390754,252
onto,109445534.187738,252
tmdx,109439631.038036,252
bn,109415852.520119,252
pcor,109198456.214563,252
gwre,109065640.182421,252
smar,108618995.108452,252
cflt,108123218.301746,252
eric,107940116.810675,252
tap,107840856.888016,252
xp,107709480.822976,252
doc,107511533.032103,252
grmn,107211708.57256,252
crbg,107117949.782857,252
expd,106993017.218254,252
trp,106692348.450159,252
ato,106630411.340952,252
siri,106597648.550456,252
cpb,106577979.577778,252
mdgl,106424144.781508,252
insp,106032466.56254,252
tko,106022281.366865,252
fn,105642103.364643,252
knx,105216055.006071,252
cien,105152773.893056,252
sui,104909678.949008,252
amc,104852502.539365,252
br,104718538.432103,252
plnt,104630385.401548,252
deo,104582913.935119,252
bili,103586883.631389,252
oklo,103479805.962679,252
owl,103444929.298214,252
zim,102571089.215675,252
fhn,102462007.367341,252
maa,102344451.587857,252
ffiv,102034012.52625,252
wolf,101847302.804266,252
manh,101357417.045694,252
usfd,101046861.410952,252
medp,100714689.953294,252
mtn,100531007.749484,252
mbly,100244189.04379,252
tdy,100148875.822024,252
sny,100045530.379881,252
iex,99899877.0246825,252
cg,99780069.0644246,252
bud,99745908.5937302,252
tte,98885131.9227579,252
fti,98379638.5253571,252
avy,98246581.7299602,252
eqh,98159259.894127,252
alk,97835307.0378969,252
rgen,97319871.9615278,252
j,97220055.155119,252
amcr,97107242.2641667,252
vtrs,96644441.4704365,252
hsic,96572065.895754,252
day,96516709.4183333,252
aeo,96227975.5013491,252
rs,95726959.5919048,252
eat,95651516.5044444,252
cck,95621551.6866667,252
solv,95449412.1976288,194
ntr,95357554.3479365,252
fmc,95329338.4460714,252
bf.b,95326655.4644444,252
serv,94897035.1269381,178
udr,94766790.907381,252
glob,94688534.5979763,252
nycb,94522454.4458738,206
jblu,94488974.3128967,252
tme,94192108.2352778,252
alle,94103732.7432937,252
has,94059989.4670833,252
sn,93969829.145,252
nice,93921836.326627,252
wrb,93864742.8064285,252
bros,93652471.3133334,252
grab,93290342.3911706,252
kim,93159175.255,252
olli,93143958.5500198,252
tw,92849698.8536111,252
txt,92818507.601746,252
ftai,92656059.2312103,252
sna,92489713.6901984,252
emn,92238550.5857539,252
rig,91607381.171746,252
casy,91058841.3056746,252
corz,91009874.6747257,237
mktx,90885649.6796428,252
mksi,90809785.135635,252
pvh,90773202.450516,252
ben,90483484.8433333,252
coo,90066527.485238,252
shak,90032922.1250397,252
rhi,89883493.7490476,252
wal,89866269.7083731,252
mhk,89849431.4853968,252
nvax,89814198.4256349,252
qubt,89744607.412031,252
be,89637030.8256349,252
dino,89539551.6450198,252
wsc,89305077.1438294,252
pnw,89102156.8600397,252
amh,89069529.5644048,252
fbin,89038517.8687302,252
wpm,88939212.6054762,252
hei,88817499.3942063,252
pfg,88556871.1121032,252
wfrd,88253507.1785317,252
hii,88173807.7155159,252
dbx,87939520.9338493,252
rnr,87659785.4614285,252
evrg,87611876.5327778,252
bwa,87391813.7488889,252
nly,87032429.2650397,252
boot,87024571.1559127,252
mtz,86997601.4345635,252
crsp,86935143.3699206,252
spr,86825773.9428175,252
edr,86594575.6445635,252
musa,86500830.577381,252
fwonk,86210000.7165079,252
penn,86167689.1431547,252
dar,86110914.7644445,252
bxp,86013185.1868651,252
pbf,85612903.3640873,252
rvty,85494229.7036865,252
lite,85455522.5554365,252
zion,85410518.8855754,252
mtdr,85215599.0792857,252
fl,84915141.9488889,252
gtm,84894063.3917262,252
zi,84894063.3917262,252
h,84844691.3357936,252
eqnr,84661429.5477778,252
kbh,84522450.5586111,252
masi,84251864.59,252
snx,83995972.5499206,252
wix,83894803.8070437,252
smr,83610112.538869,252
aso,83585027.9469444,252
lnt,83539203.2152778,252
agco,83454547.3963095,252
pbr.a,83207262.1064682,252
crdo,82766845.1180754,252
lkq,82687382.2268055,252
lunr,82638321.9741071,252
lnth,82124240.4171429,252
sphy,81884888.5517063,252
tecs,81505839.680754,252
mod,81318584.2871825,252
cinf,81284815.8688492,252
bce,80919853.630119,252
rexr,80517440.4271825,252
hcp,80430955.5361111,252
tfx,80354150.2723016,252
bns,80064335.7785318,252
hrl,79984349.8307936,252
pton,79660789.8453571,252
umc,79554451.4805556,252
els,79542170.9384921,252
ati,79267924.3152778,252
sgi,79195446.4781746,252
civi,79065015.5689286,252
trex,78929715.6118253,252
sg,78846544.8313095,252
lea,78701009.4130159,252
sig,78578379.163135,252
rbrk,78566454.3078035,173
xray,78537968.580615,252
pcty,78091817.0928373,252
pen,77902983.9520237,252
wms,77835988.7307936,252
uaa,77804836.079127,252
ccep,77549588.4607539,252
trmb,77540228.9309524,252
jkhy,77356611.3561905,252
aos,77041971.1301984,252
lad,76836977.9260318,252
rba,76136592.8174207,252
gfs,76020372.4323611,252
zeta,75981553.5973016,252
psn,75907565.3407539,252
rmbs,75899515.3643254,252
rol,75842309.1254365,252
vik,75637253.2388757,169
pcvx,75521031.9447619,252
bntx,75519689.2730754,252
ttc,75482169.5715873,252
fnv,75450980.8201587,252
flr,75394040.9393254,252
evr,75249206.3459127,252
exp,75118810.355119,252
atkr,75052333.3264683,252
lbrdk,74966896.0635516,252
brkr,74953487.3073413,252
apls,74811923.4120834,252
pfgc,74709614.0098413,252
hut,74599047.5417063,252
rrc,74438688.4279761,252
lumn,74209113.5031349,252
jazz,74201562.1734127,252
ewbc,74042876.4103571,252
bmo,73942305.3434524,252
acm,73906694.8169841,252
achr,73885975.5050397,252
kbr,73774557.0548016,252
iova,73580329.7866666,252
crs,73363261.4441667,252
pi,73224762.2844444,252
ssnc,73127062.8120635,252
gen,73019932.7022619,252
arcc,73012789.8986904,252
tem,72667055.9958695,138
etrn,72525879.4990511,137
azek,72368671.8056349,252
car,72351882.5838293,252
oled,72268476.4528572,252
armk,72263267.2019048,252
fmx,72231598.688373,252
alc,72010108.5517064,252
rpm,71876218.5,252
mga,71810688.5546032,252
ryaay,71641905.6617262,252
tdw,71487839.4908333,252
bio,71427260.8546826,252
rga,71241020.0630159,252
tech,71095878.0957341,252
reg,71066672.368373,252
alv,70773637.2922619,252
mth,70404441.2527778,252
an,70168647.7278572,252
lpx,70123989.194246,252
sm,69955670.225873,252
wex,69885942.7513492,252
jef,69869210.7036111,252
powl,69788601.154742,252
urbn,69651857.2107143,252
pten,69364011.4886706,252
unm,69322552.6873413,252
tgtx,69261388.0077976,252
frpt,69254144.5307937,252
bery,69227763.0577381,252
asx,69122814.7596428,252
stne,69025567.2492659,252
tal,69005006.1394444,252
brbr,68900797.4520635,252
wpc,68874861.0321826,252
midd,68823866.560754,252
rprx,68725662.3770238,252
cnx,68698867.4725397,252
cm,68691491.5442064,252
zto,68647182.3474206,252
axta,68296921.9299603,252
wwd,67926428.8293254,252
paas,67909473.2148611,252
fybr,67845026.8744048,252
ayi,67783682.0546032,252
btu,67628426.2396825,252
elan,67506511.080754,252
gpk,67475904.4836112,252
mkl,67318978.2371032,252
nwsa,67268975.9988492,252
sci,67111365.0242064,252
bwxt,67037276.0394444,252
val,66893325.313373,252
acls,66602247.8498412,252
hsbc,66222329.1869444,252
smtc,66181414.7308333,252
cw,66091967.7986111,252
nov,65741468.6962302,252
achc,65392196.5610317,252
vrns,65334318.7051984,252
aci,65235517.3286111,252
cere,65182093.9477241,145
ivz,65114880.4566667,252
cri,65100054.624127,252
hrb,64855339.5127381,252
fivn,64743152.6621429,252
becn,64532986.2521429,252
wlk,64507961.583254,252
gkos,64275399.7289683,252
leco,64174671.6782143,252
halo,63943254.0981349,252
sony,63902687.0885437,252
sum,63869777.9742461,252
st,63763003.1451587,252
tm,63693816.0038889,252
lnw,63647079.448373,252
knsl,63520755.3435318,252
cpri,63499551.7367857,252
nne,63481444.1053622,164
avav,63348482.8602182,252
ibp,63326457.6834921,252
jll,63068945.2846825,252
gmed,62971664.5569048,252
qlys,62966255.0417461,252
aiz,62961755.9858334,252
yeti,62931813.2423413,252
clh,62837254.558254,252
bpmc,62681626.5447817,252
spsb,62672027.2588889,252
fnf,62662414.155873,252
roiv,62640038.4844841,252
wen,62453023.4587699,252
cube,62397226.8578174,252
docs,62146089.4007143,252
ttek,61860973.5454365,252
htht,61791551.6376389,252
ts,61727832.8282937,252
rrx,61657628.5137104,252
adc,61563358.558254,252
jwn,61516583.4437699,252
ggg,61343175.9344444,252
mur,61309286.9353969,252
srcl,61111595.9648815,211
vsco,61010264.1334524,252
nok,60761038.2650413,252
stng,60745836.4879762,252
ne,60581840.1781746,252
glpi,60533754.6826587,252
mfc,60429049.7360715,252
cnk,60352704.9686905,252
tdoc,60080813.9120238,252
amr,59895929.9635317,252
ndsn,59861276.1986905,252
pii,59754530.3658333,252
appf,59572378.7724802,252
mtsi,59506549.6541667,252
ubs,59450716.2155754,252
keel,59398316.2909722,252
lrn,59346304.7896032,252
voya,59221588.6055159,252
bz,59151922.9281944,252
qs,59029588.1802778,252
wh,58868814.2661111,252
bbd,58838997.7649603,252
hog,58757327.3845238,252
oln,58691382.6611111,252
wbs,58515053.5099206,252
mat,58513985.3182143,252
